Title: BRITISH POUND FUTURES - QUOTES
Last Settlement Trade Date: Last Updated 13 Oct 2023 06:03:00 PM CT
Month,Options,Chart,Last,Change,Prior Settle,Open,High,Low,Volume,Updated
Month,Options,Chart,Last,Change,Prior Settle,Open,High,Low,Volume,Updated
OCT 2023 6BV3,Opt,,1.2168,+0.0033 (+0.27%),1.2135,1.2150,1.2170,1.2147,24,02:27:41 CT  16 Oct 2023
NOV 2023 6BX3,Opt,,1.2165,+0.0028 (+0.23%),1.2137,1.2154,1.2168,1.2151,60,02:08:45 CT  16 Oct 2023
DEC 2023 6BZ3,Opt,,1.2176,+0.0037 (+0.30%),1.2139,1.2152,1.2180,1.2147,13785,02:41:29 CT  16 Oct 2023
JAN 2024 6BF4,Opt,,-,-,1.2143,-,-,-,0,16:00:00 CT  15 Oct 2023
FEB 2024 6BG4,Opt,,-,-,0.0000,-,-,-,0,16:00:00 CT  15 Oct 2023
MAR 2024 6BH4,Opt,,1.2181,+0.0033 (+0.27%),1.2148,1.2167,1.2181,1.2163,8,02:13:41 CT  16 Oct 2023
APR 2024 6BJ4,Opt,,-,-,-,-,-,-,0,-
JUN 2024 6BM4,Opt,,-,-,1.2152,-,-,-,0,16:00:00 CT  15 Oct 2023
SEP 2024 6BU4,Opt,,-,-,1.2154,-,-,-,0,16:00:00 CT  15 Oct 2023
DEC 2024 6BZ4,Opt,,-,-,1.2153,-,-,-,0,16:00:00 CT  15 Oct 2023
MAR 2025 6BH5,Opt,,-,-,1.2150,-,-,-,0,16:00:00 CT  15 Oct 2023
JUN 2025 6BM5,Opt,,-,-,1.2147,-,-,-,0,16:00:00 CT  15 Oct 2023
SEP 2025 6BU5,Opt,,-,-,1.2145,-,-,-,0,16:00:00 CT  15 Oct 2023
DEC 2025 6BZ5,Opt,,-,-,1.2148,-,-,-,0,16:00:00 CT  15 Oct 2023
MAR 2026 6BH6,Opt,,-,-,1.2154,-,-,-,0,16:00:00 CT  15 Oct 2023
JUN 2026 6BM6,Opt,,-,-,1.2160,-,-,-,0,16:00:00 CT  15 Oct 2023
SEP 2026 6BU6,Opt,,-,-,1.2167,-,-,-,0,16:00:00 CT  15 Oct 2023
DEC 2026 6BZ6,Opt,,-,-,1.2173,-,-,-,0,16:00:00 CT  15 Oct 2023
MAR 2027 6BH7,Opt,,-,-,1.2179,-,-,-,0,16:00:00 CT  15 Oct 2023
JUN 2027 6BM7,Opt,,-,-,1.2186,-,-,-,0,16:00:00 CT  15 Oct 2023
SEP 2027 6BU7,Opt,,-,-,1.2192,-,-,-,0,16:00:00 CT  15 Oct 2023
DEC 2027 6BZ7,Opt,,-,-,1.2198,-,-,-,0,16:00:00 CT  15 Oct 2023
MAR 2028 6BH8,Opt,,-,-,1.2205,-,-,-,0,16:00:00 CT  15 Oct 2023
JUN 2028 6BM8,Opt,,-,-,1.2211,-,-,-,0,16:00:00 CT  15 Oct 2023
SEP 2028 6BU8,Opt,,-,-,1.2218,-,-,-,0,16:00:00 CT  15 Oct 2023
